Date,BTC Close Price,ETH Close Price,LTC Close Price,Dash Close Price
2013-04-28,134.21,,4.35,
2013-04-29,144.54,,4.38,
2013-04-30,139,,4.3,
2013-05-01,116.99,,3.8,
2013-05-02,105.21,,3.37,
2013-05-03,97.75,,3.04,
2013-05-04,112.5,,3.48,
2013-05-05,115.91,,3.59,
2013-05-06,112.3,,3.37,
2013-05-07,111.5,,3.33,
2013-05-08,113.57,,3.41,
2013-05-09,112.67,,3.42,
2013-05-10,117.2,,3.44,
2013-05-11,115.24,,3.35,
2013-05-12,115,,3.27,
2013-05-13,117.98,,3.28,
2013-05-14,111.5,,2.82,
2013-05-15,114.22,,2.94,
2013-05-16,118.76,,2.92,
2013-05-17,123.02,,3.19,
2013-05-18,123.5,,3.29,
2013-05-19,121.99,,3.3,
2013-05-20,122,,3.18,
2013-05-21,122.88,,3.09,
2013-05-22,123.89,,3.12,
2013-05-23,126.7,,3.18,
2013-05-24,133.2,,3.18,
2013-05-25,131.98,,3.12,
2013-05-26,133.48,,3.25,
2013-05-27,129.75,,3.1,
2013-05-28,129,,3.09,
2013-05-29,132.3,,3.1,
2013-05-30,128.8,,2.97,
2013-05-31,129,,2.96,
2013-06-01,129.3,,2.83,
2013-06-02,122.29,,2.73,
2013-06-03,122.22,,2.73,
2013-06-04,121.42,,2.87,
2013-06-05,121.65,,2.86,
2013-06-06,118,,2.75,
2013-06-07,111.5,,2.6,
2013-06-08,108.3,,2.56,
2013-06-09,100,,2.38,
2013-06-10,106.35,,2.49,
2013-06-11,108.9,,2.4,
2013-06-12,108.15,,2.38,
2013-06-13,104,,2.27,
2013-06-14,99.98,,2.13,
2013-06-15,99.99,,2.11,
2013-06-16,99.51,,2.13,
2013-06-17,101.7,,2.28,
2013-06-18,107.4,,2.31,
2013-06-19,108.25,,2.3,
2013-06-20,110.15,,2.29,
2013-06-21,109.5,,2.87,
2013-06-22,108.3,,2.92,
2013-06-23,107.6,,3.12,
2013-06-24,102.74,,2.87,
2013-06-25,103.95,,2.82,
2013-06-26,104,,2.86,
2013-06-27,101.44,,3.02,
2013-06-28,94.65,,2.75,
2013-06-29,94.99,,2.79,
2013-06-30,96.61,,2.98,
2013-07-01,88.05,,2.95,
2013-07-02,90.13,,2.83,
2013-07-03,77.53,,2.62,
2013-07-04,80.53,,2.73,
2013-07-05,68.43,,2.43,
2013-07-06,70.28,,2.52,
2013-07-07,74.56,,2.66,
2013-07-08,76.52,,2.61,
2013-07-09,76.69,,2.61,
2013-07-10,86.76,,2.81,
2013-07-11,88.98,,2.73,
2013-07-12,93.59,,2.79,
2013-07-13,98.13,,2.9,
2013-07-14,94.69,,2.91,
2013-07-15,98.4,,2.98,
2013-07-16,97.45,,3.1,
2013-07-17,98.5,,3.15,
2013-07-18,90.58,,2.89,
2013-07-19,92.17,,2.96,
2013-07-20,89.39,,2.86,
2013-07-21,90.76,,2.92,
2013-07-22,91.61,,2.89,
2013-07-23,95.56,,2.99,
2013-07-24,94.51,,2.94,
2013-07-25,96.9,,2.97,
2013-07-26,96.02,,2.9,
2013-07-27,94.12,,2.88,
2013-07-28,99.76,,2.98,
2013-07-29,101.2,,2.96,
2013-07-30,107.99,,2.99,
2013-07-31,106.09,,2.87,
2013-08-01,104,,2.91,
2013-08-02,104.5,,2.84,
2013-08-03,104,,2.96,
2013-08-04,105.14,,3.01,
2013-08-05,106.22,,2.83,
2013-08-06,106.75,,2.82,
2013-08-07,106.75,,2.76,
2013-08-08,103,,2.7,
2013-08-09,102.8,,2.68,
2013-08-10,103,,2.56,
2013-08-11,105,,2.69,
2013-08-12,106.64,,2.65,
2013-08-13,109,,2.74,
2013-08-14,112.56,,2.73,
2013-08-15,109.99,,2.76,
2013-08-16,108.99,,2.72,
2013-08-17,113.5,,2.82,
2013-08-18,113.5,,2.8,
2013-08-19,119,,2.82,
2013-08-20,121.2,,2.78,
2013-08-21,123.3,,2.7,
2013-08-22,121.15,,2.75,
2013-08-23,118.5,,2.72,
2013-08-24,120.05,,2.69,
2013-08-25,122.11,,2.59,
2013-08-26,120.06,,2.57,
2013-08-27,126.5,,2.57,
2013-08-28,122.62,,2.52,
2013-08-29,122.39,,2.55,
2013-08-30,133.49,,2.66,
2013-08-31,135.35,,2.58,
2013-09-01,138.34,,2.58,
2013-09-02,135.85,,2.56,
2013-09-03,136.77,,2.6,
2013-09-04,126.74,,2.81,
2013-09-05,126.43,,2.75,
2013-09-06,119.15,,2.69,
2013-09-07,124.15,,2.71,
2013-09-08,121.66,,2.73,
2013-09-09,127.11,,2.73,
2013-09-10,125.91,,2.64,
2013-09-11,135.25,,2.72,
2013-09-12,133.13,,2.7,
2013-09-13,134.98,,2.67,
2013-09-14,129.22,,2.54,
2013-09-15,130.37,,2.64,
2013-09-16,131.72,,2.63,
2013-09-17,131.66,,2.6,
2013-09-18,131.47,,2.56,
2013-09-19,129.65,,2.62,
2013-09-20,127.04,,2.48,
2013-09-21,127.43,,2.51,
2013-09-22,129.12,,2.53,
2013-09-23,125.95,,2.47,
2013-09-24,127.25,,2.47,
2013-09-25,128.22,,2.37,
2013-09-26,128.38,,2.39,
2013-09-27,133.78,,2.4,
2013-09-28,134.78,,2.25,
2013-09-29,137.34,,2.3,
2013-09-30,133,,2.35,
2013-10-01,132.18,,2.42,
2013-10-02,114.13,,1.97,
2013-10-03,123.63,,2.17,
2013-10-04,129.01,,2.2,
2013-10-05,128.55,,2.15,
2013-10-06,129,,2.17,
2013-10-07,126.94,,2.1,
2013-10-08,126,,1.98,
2013-10-09,130.69,,1.92,
2013-10-10,130.59,,2.03,
2013-10-11,130.9,,2.07,
2013-10-12,135.19,,2.12,
2013-10-13,138.13,,2.13,
2013-10-14,140.52,,2.05,
2013-10-15,145.24,,1.96,
2013-10-16,142.55,,1.92,
2013-10-17,146.25,,1.91,
2013-10-18,155.96,,1.9,
2013-10-19,172.42,,1.88,
2013-10-20,174.61,,1.93,
2013-10-21,182.21,,1.82,
2013-10-22,193.76,,1.7,
2013-10-23,213.62,,2.05,
2013-10-24,198.23,,2.27,
2013-10-25,186.69,,2.18,
2013-10-26,177.32,,2.21,
2013-10-27,196.44,,2.13,
2013-10-28,198.55,,2.18,
2013-10-29,204.39,,2.13,
2013-10-30,199.97,,2.29,
2013-10-31,204,,2.36,
2013-11-01,206.18,,2.45,
2013-11-02,206.22,,2.7,
2013-11-03,215.05,,2.88,
2013-11-04,229.1,,3.08,
2013-11-05,245.24,,3.04,
2013-11-06,262.5,,3.39,
2013-11-07,296.41,,4.39,
2013-11-08,338.11,,4.61,
2013-11-09,339.11,,4.22,
2013-11-10,326.62,,3.93,
2013-11-11,342.44,,4,
2013-11-12,360.33,,3.98,
2013-11-13,407.37,,4.11,
2013-11-14,420.2,,4.29,
2013-11-15,417.95,,4.21,
2013-11-16,440.22,,4.3,
2013-11-17,492.11,,4.09,
2013-11-18,703.56,,9.37,
2013-11-19,584.61,,8.03,
2013-11-20,590.83,,7.98,
2013-11-21,722.43,,9.35,
2013-11-22,771.44,,10.13,
2013-11-23,797.82,,10.61,
2013-11-24,774.25,,10.41,
2013-11-25,799.11,,12.27,
2013-11-26,928.1,,20.35,
2013-11-27,1001.96,,39.04,
2013-11-28,1031.95,,43.39,
2013-11-29,1131.97,,37.74,
2013-11-30,1129.43,,40.47,
2013-12-01,955.85,,34.74,
2013-12-02,1043.33,,33.18,
2013-12-03,1078.28,,39.79,
2013-12-04,1151.17,,44.73,
2013-12-05,1045.11,,37.75,
2013-12-06,829.45,,29.84,
2013-12-07,698.23,,23.29,
2013-12-08,795.87,,27.27,
2013-12-09,893.19,,31.57,
2013-12-10,988.51,,36.29,
2013-12-11,878.48,,30.98,
2013-12-12,873.26,,31.59,
2013-12-13,892.58,,31.2,
2013-12-14,872.6,,30.38,
2013-12-15,876.12,,31.28,
2013-12-16,705.97,,24.64,
2013-12-17,682.12,,21.97,
2013-12-18,522.7,,13.39,
2013-12-19,691.96,,19.91,
2013-12-20,625.32,,17.57,
2013-12-21,605.66,,16.73,
2013-12-22,617.18,,16.86,
2013-12-23,673.41,,17.89,
2013-12-24,665.58,,17.64,
2013-12-25,682.21,,21.15,
2013-12-26,761.98,,24.76,
2013-12-27,735.07,,23.27,
2013-12-28,727.83,,22.56,
2013-12-29,745.05,,24.07,
2013-12-30,756.13,,24.38,
2013-12-31,754.01,,24.35,
2014-01-01,771.4,,24.62,
2014-01-02,802.39,,25.76,
2014-01-03,818.72,,24.82,
2014-01-04,859.51,,25.11,
2014-01-05,933.53,,26.83,
2014-01-06,953.29,,29.22,
2014-01-07,802,,23.25,
2014-01-08,842.72,,24.39,
2014-01-09,846.86,,24.43,
2014-01-10,868.48,,24.93,
2014-01-11,913.95,,26.79,
2014-01-12,863.22,,25.09,
2014-01-13,841.2,,24.27,
2014-01-14,833.27,,24.1,
2014-01-15,860.9,,25.22,
2014-01-16,835.63,,24.46,
2014-01-17,814.64,,23.71,
2014-01-18,840,,24.55,
2014-01-19,870.96,,25.44,
2014-01-20,870.2,,25.2,
2014-01-21,863.91,,24.73,
2014-01-22,845.59,,23.65,
2014-01-23,822.04,,22.38,
2014-01-24,797.07,,20.72,
2014-01-25,853.61,,23.08,
2014-01-26,885.28,,24.12,
2014-01-27,771.39,,20.02,
2014-01-28,812.51,,21.55,
2014-01-29,826,,21.92,
2014-01-30,819.03,,21.69,
2014-01-31,829.92,,22.13,
2014-02-01,832.58,,22.47,
2014-02-02,825.37,,22.4,
2014-02-03,823.83,,21.91,
2014-02-04,827.96,,21.46,
2014-02-05,811.91,,20.78,
2014-02-06,781.55,,19.91,
2014-02-07,712.4,,18.54,
2014-02-08,673.92,,18.08,
2014-02-09,682.9,,18.22,
2014-02-10,681.03,,17.73,
2014-02-11,672.17,,17.46,
2014-02-12,651.72,,16.95,
2014-02-13,605.24,,15.29,
2014-02-14,661.99,,16.41,0.374024
2014-02-15,650.92,,16.17,0.314865
2014-02-16,616.63,,15.2,0.406976
2014-02-17,626.27,,15.49,1.45
2014-02-18,626.6,,15.62,1.04
2014-02-19,623.03,,15.73,0.941647
2014-02-20,556.14,,13.98,1.06
2014-02-21,574.16,,13.89,1.13
2014-02-22,605.42,,14.94,1.24
2014-02-23,605.82,,15.49,1.15
2014-02-24,546.32,,14.55,0.841903
2014-02-25,538.71,,13.82,0.527474
2014-02-26,582.69,,14.23,0.619451
2014-02-27,578.77,,14.29,0.61939
2014-02-28,549.26,,13.23,0.550661
2014-03-01,565.61,,13.65,0.937342
2014-03-02,559.79,,12.74,1.03
2014-03-03,667.76,,14.27,1.21
2014-03-04,666.78,,17.07,0.987557
2014-03-05,665.51,,16.34,1.03
2014-03-06,663.86,,16.46,1.05
2014-03-07,629.15,,15.85,0.877912
2014-03-08,617.45,,15.41,0.914905
2014-03-09,636.96,,16,0.872964
2014-03-10,627.79,,16.01,0.810256
2014-03-11,634.11,,16.14,0.8913
2014-03-12,632.1,,17.18,0.865936
2014-03-13,638.14,,17.02,0.833336
2014-03-14,628.8,,16.59,0.811341
2014-03-15,636.12,,16.9,0.7912
2014-03-16,631.11,,17.35,0.775647
2014-03-17,622.37,,17.31,0.781925
2014-03-18,614.83,,19.42,0.75221
2014-03-19,609.89,,17.24,0.743559
2014-03-20,588.77,,16.47,0.725089
2014-03-21,571.49,,15.7,0.704648
2014-03-22,565.04,,15.71,0.71468
2014-03-23,561.27,,15.36,0.718257
2014-03-24,583.41,,16.19,0.866518
2014-03-25,583.92,,16.3,0.8201
2014-03-26,580.83,,16.27,0.858815
2014-03-27,471.24,,12.48,0.6835
2014-03-28,495.67,,13.74,0.697426
2014-03-29,491.17,,13.45,0.703475
